Name;Birthday;Club;Club2;Club3;Year;League
Adam Hloušek;1988-12-20;Stuttgart;;;2015.0;GER-Bundesliga
Caiuby Francisco da Silva;1988-07-14;Augsburg;;;2015.0;GER-Bundesliga
Ashton Philip Shawn Götz;1993-07-16;Hamburg;;;2015.0;GER-Bundesliga
Niklas Teichgräber;1996-02-07;Hannover;;;2015.0;GER-Bundesliga
Sascha Riether;1983-03-23;Schalke;;;2015.0;GER-Bundesliga
Arjen Robben;1984-01-23;Bayern;;;2015.0;GER-Bundesliga
Andrej Kramarić;1991-06-19;Hoffenheim;;;2015.0;GER-Bundesliga
Bas Leon Dost;1989-05-31;Wolfsburg;;;2015.0;GER-Bundesliga
Gonzalo Alejandro Jara Reyes;1985-08-29;Mainz;;;2015.0;GER-Bundesliga
Albian Afrim Ajeti;1997-02-26;Augsburg;;;2015.0;GER-Bundesliga
Patrik Džalto;1997-02-19;Leverkusen;;;2015.0;GER-Bundesliga
Håvard Nordtveit;1990-06-21;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Paweł Mirosław Olkowski;1990-02-13;FC Koln;;;2015.0;GER-Bundesliga
Marcel Risse;1989-12-17;FC Koln;;;2015.0;GER-Bundesliga
Konstantinos Stafylidis;1993-12-02;Augsburg;Leverkusen;;2015.0;GER-Bundesliga
Miiko Martín Albornoz Inola;1990-11-30;Hannover;;;2015.0;GER-Bundesliga
Maximilian Arnold;1994-05-27;Wolfsburg;;;2015.0;GER-Bundesliga
Daniel Ginczek;1991-04-13;Stuttgart;;;2015.0;GER-Bundesliga
Jaroslav Drobný;1979-10-18;Hamburg;;;2015.0;GER-Bundesliga
Jonas Hofmann;1992-07-14;Borussia M.Gladbach;Borussia Dortmund;;2015.0;GER-Bundesliga
Kazuki Nagasawa;1991-12-16;FC Koln;;;2015.0;GER-Bundesliga
Eduardo Jesús Vargas Rojas;1989-11-20;Hoffenheim;;;2015.0;GER-Bundesliga
Zoltán Stieber;1988-10-16;Hamburg;;;2015.0;GER-Bundesliga
Leon Andreasen;1983-04-23;Hannover;;;2015.0;GER-Bundesliga
Hiroki Sakai;1990-04-12;Hannover;;;2015.0;GER-Bundesliga
Shinji Kagawa;1989-03-17;Borussia Dortmund;;;2015.0;GER-Bundesliga
Takashi Inui;1988-06-02;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Hotaru Yamaguchi;1990-10-06;Hannover;;;2015.0;GER-Bundesliga
Mitchell James Langerak;1988-08-22;Stuttgart;;;2015.0;GER-Bundesliga
Alfreð Finnbogason;1989-02-01;Augsburg;;;2015.0;GER-Bundesliga
Jakub Błaszczykowski;1985-12-14;Borussia Dortmund;;;2015.0;GER-Bundesliga
Sambou Yatabaré;1989-03-02;Werder Bremen;;;2015.0;GER-Bundesliga
Yoshinori Muto;1992-07-15;Mainz;;;2015.0;GER-Bundesliga
Ørjan Håskjold Nyland;1990-09-10;Ingolstadt;;;2015.0;GER-Bundesliga
Gōtoku Sakai;1991-03-14;Hamburg;;;2015.0;GER-Bundesliga
Yuya Osako;1990-05-18;FC Koln;;;2015.0;GER-Bundesliga
Hiroshi Kiyotake;1989-11-12;Hannover;;;2015.0;GER-Bundesliga
Gustavo Adrián Ramos Vásquez;1986-01-22;Borussia Dortmund;;;2015.0;GER-Bundesliga
Alejandro Gálvez Jimena;1989-06-06;Werder Bremen;;;2015.0;GER-Bundesliga
Tarik Elyounoussi;1988-02-23;Hoffenheim;;;2015.0;GER-Bundesliga
Hajime Hosogai;1986-06-10;Hertha Berlin;;;2015.0;GER-Bundesliga
Mustafa Batuhan Altıntaş;1996-03-14;Hamburg;;;2015.0;GER-Bundesliga
Cleber Janderson Pereira Reis;1990-12-05;Hamburg;;;2015.0;GER-Bundesliga
Roger de Oliveira Bernardo;1985-08-10;Ingolstadt;;;2015.0;GER-Bundesliga
Eric Dirk Oelschlägel;1995-09-20;Werder Bremen;;;2015.0;GER-Bundesliga
Mahmoud Dahoud;1996-01-01;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Haris Seferović;1992-02-22;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Joelinton Cássio Apolinário de Lira;1996-08-14;Hoffenheim;;;2015.0;GER-Bundesliga
Roman Neustädter;1988-02-18;Schalke;;;2015.0;GER-Bundesliga
Bernd Leno;1992-03-04;Leverkusen;;;2015.0;GER-Bundesliga
Marc Stendera;1995-12-10;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Loris Sven Karius;1993-06-22;Mainz;;;2015.0;GER-Bundesliga
Fabian Lukas Schär;1991-12-20;Hoffenheim;;;2015.0;GER-Bundesliga
Dong-Won Ji;1991-05-28;Augsburg;;;2015.0;GER-Bundesliga
Daniel Tawiah Opare;1990-10-18;Augsburg;;;2015.0;GER-Bundesliga
Philipp Ochs;1997-04-17;Hoffenheim;;;2015.0;GER-Bundesliga
Pascal Groß;1991-06-15;Ingolstadt;;;2015.0;GER-Bundesliga
Goran Alexander Sjöström Milošević;1992-01-30;Hannover;;;2015.0;GER-Bundesliga
Oscar Joakim Wendt;1985-10-24;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Ragnar Klavan;1985-10-30;Augsburg;;;2015.0;GER-Bundesliga
Tim Matavž;1989-01-13;Augsburg;;;2015.0;GER-Bundesliga
Nikola Đurđić;1986-04-01;Augsburg;;;2015.0;GER-Bundesliga
Heinz Lindner;1990-07-17;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Andreas Hirzel;1993-03-25;Hamburg;;;2015.0;GER-Bundesliga
Jérôme Agyenim Boateng;1988-09-03;Bayern;;;2015.0;GER-Bundesliga
Ulisses Alexandre Garcia Lopes;1996-01-11;Werder Bremen;;;2015.0;GER-Bundesliga
Philip Michael Heise;1991-06-20;Stuttgart;;;2015.0;GER-Bundesliga
Tom Mickel;1989-04-19;Hamburg;;;2015.0;GER-Bundesliga
Lewis Harry Holtby;1990-09-18;Hamburg;;;2015.0;GER-Bundesliga
Lukas Hinterseer;1991-03-28;Ingolstadt;;;2015.0;GER-Bundesliga
Barış Fahri Atik;1995-01-09;Hoffenheim;;;2015.0;GER-Bundesliga
Fabian Lustenberger;1988-05-02;Hertha Berlin;;;2015.0;GER-Bundesliga
Sebastian Alexander Jung;1990-06-22;Wolfsburg;;;2015.0;GER-Bundesliga
Oliver Hüsing;1993-02-17;Werder Bremen;;;2015.0;GER-Bundesliga
Lars Edi Stindl;1988-08-26;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Levin Mete Öztunalı;1996-03-15;Werder Bremen;;;2015.0;GER-Bundesliga
Marvin Wanitzek;1993-05-07;Stuttgart;;;2015.0;GER-Bundesliga
Jérôme Gondorf;1988-06-26;Darmstadt;;;2015.0;GER-Bundesliga
Nils-Jonathan Körber;1996-11-13;Hertha Berlin;;;2015.0;GER-Bundesliga
Finn-Dominik Porath;1997-02-23;Hamburg;;;2015.0;GER-Bundesliga
Luc Castaignos;1992-09-27;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Marvin Schulz;1995-01-15;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Francísco Jose Rodríguez Araya;1995-09-14;Wolfsburg;;;2015.0;GER-Bundesliga
Ahmet Metin Arslan;1994-03-30;Hamburg;;;2015.0;GER-Bundesliga
Ralf Sebastian Fährmann;1988-09-27;Schalke;;;2015.0;GER-Bundesliga
Leonardo Jesus Loureiro Bittencourt;1993-12-19;FC Koln;;;2015.0;GER-Bundesliga
Mitchell-Elijah Weiser;1994-04-21;Hertha Berlin;;;2015.0;GER-Bundesliga
Branimir Hrgota;1993-01-12;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Miloš Veljković;1995-09-26;Werder Bremen;;;2015.0;GER-Bundesliga
Niklas Stark;1995-04-14;Hertha Berlin;;;2015.0;GER-Bundesliga
Michael Zetterer;1995-07-12;Werder Bremen;;;2015.0;GER-Bundesliga
Marcel Hartel;1996-01-19;FC Koln;;;2015.0;GER-Bundesliga
Sascha Burchert;1989-10-30;Hertha Berlin;Hertha Berlin;;2015.0;GER-Bundesliga
Julian Wesley Green;1995-06-06;Bayern;;;2015.0;GER-Bundesliga
Marco Friedl;1998-03-16;Bayern;;;2015.0;GER-Bundesliga
Felix Klaus;1992-09-13;Hannover;;;2015.0;GER-Bundesliga
André Hoffmann;1993-02-28;Hannover;;;2015.0;GER-Bundesliga
Marcel Sobottka;1994-04-25;Schalke;;;2015.0;GER-Bundesliga
Matthias Jürgen Zimmermann;1992-06-16;Stuttgart;;;2015.0;GER-Bundesliga
Kenan Karaman;1994-03-05;Hannover;;;2015.0;GER-Bundesliga
Maximilian Reinthaler;1995-03-22;Augsburg;;;2015.0;GER-Bundesliga
Danny Latza;1989-12-07;Mainz;;;2015.0;GER-Bundesliga
Ron-Robert Zieler;1989-02-12;Hannover;;;2015.0;GER-Bundesliga
Timo Baumgartl;1996-03-04;Stuttgart;;;2015.0;GER-Bundesliga
Nico Elvedi;1996-09-30;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Koen Casteels;1992-06-25;Wolfsburg;;;2015.0;GER-Bundesliga
Felix Passlack;1998-05-29;Borussia Dortmund;;;2015.0;GER-Bundesliga
Johannes Geis;1993-08-17;Schalke;;;2015.0;GER-Bundesliga
David Kinsombi;1995-12-12;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Max Christiansen;1996-09-25;Ingolstadt;;;2015.0;GER-Bundesliga
Danilo Teodoro Soares;1991-10-29;Ingolstadt;;;2015.0;GER-Bundesliga
Simon Zoller;1991-06-26;FC Koln;;;2015.0;GER-Bundesliga
Sebastian Ernst;1995-03-04;Hannover;;;2015.0;GER-Bundesliga
Maximilian Bennet Kruse;1988-03-19;Wolfsburg;;;2015.0;GER-Bundesliga
Marius Gersbeck;1995-06-20;Hertha Berlin;;;2015.0;GER-Bundesliga
Peter Pekarík;1986-10-30;Hertha Berlin;;;2015.0;GER-Bundesliga
Yannick Gerhardt;1994-03-13;FC Koln;;;2015.0;GER-Bundesliga
Kevin Stöger;1993-08-27;Stuttgart;;;2015.0;GER-Bundesliga
Christian Mathenia;1992-03-31;Darmstadt;;;2015.0;GER-Bundesliga
Tobias Sippel;1988-03-22;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Tony Jantschke;1990-04-07;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Jannik Huth;1994-04-15;Mainz;;;2015.0;GER-Bundesliga
Anthony Ujah;1990-10-14;Werder Bremen;;;2015.0;GER-Bundesliga
Marco Schuster;1995-10-10;Augsburg;;;2015.0;GER-Bundesliga
Julian Weigl;1995-09-08;Borussia Dortmund;;;2015.0;GER-Bundesliga
Suat Serdar;1997-04-11;Mainz;;;2015.0;GER-Bundesliga
Oliver Baumann;1990-06-02;Hoffenheim;;;2015.0;GER-Bundesliga
Pavel Kadeřábek;1992-04-25;Hoffenheim;;;2015.0;GER-Bundesliga
Kevin Vogt;1991-09-23;FC Koln;;;2015.0;GER-Bundesliga
Florian Grillitsch;1995-08-07;Werder Bremen;;;2015.0;GER-Bundesliga
Dominik Kohr;1994-01-31;Augsburg;;;2015.0;GER-Bundesliga
Danny Vieira da Costa;1993-07-13;Ingolstadt;;;2015.0;GER-Bundesliga
Erik Durm;1992-05-12;Borussia Dortmund;;;2015.0;GER-Bundesliga
Phillipp Klement;1992-09-09;Mainz;;;2015.0;GER-Bundesliga
Marlon Ritter;1994-10-15;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Grischa Prömel;1995-01-09;Hoffenheim;;;2015.0;GER-Bundesliga
Fabian Reese;1997-11-29;Schalke;;;2015.0;GER-Bundesliga
John Anthony Brooks;1993-01-28;Hertha Berlin;;;2015.0;GER-Bundesliga
Christoph Kramer;1991-02-19;Leverkusen;;;2015.0;GER-Bundesliga
Patrick Herrmann;1991-02-12;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Robin Zentner;1994-10-28;Mainz;;;2015.0;GER-Bundesliga
Stefan Bell;1991-08-24;Mainz;;;2015.0;GER-Bundesliga
Alexander Hack;1993-09-08;Mainz;;;2015.0;GER-Bundesliga
Florian Niederlechner;1990-10-24;Mainz;;;2015.0;GER-Bundesliga
Alexander Nübel;1996-09-30;Schalke;;;2015.0;GER-Bundesliga
Jeremy Toljan;1994-08-08;Hoffenheim;;;2015.0;GER-Bundesliga
Sead Kolašinac;1993-06-20;Schalke;;;2015.0;GER-Bundesliga
Ricardo Iván Rodríguez Araya;1992-08-25;Wolfsburg;;;2015.0;GER-Bundesliga
Arianit Ferati;1997-09-07;Stuttgart;;;2015.0;GER-Bundesliga
Marnon Thomas Busch;1994-12-08;Werder Bremen;;;2015.0;GER-Bundesliga
Fabian Holland;1990-07-11;Darmstadt;;;2015.0;GER-Bundesliga
Tim Rieder;1993-09-03;Augsburg;;;2015.0;GER-Bundesliga
Tobias Kempe;1989-06-27;Darmstadt;;;2015.0;GER-Bundesliga
Benedikt Gimber;1997-02-19;Hoffenheim;;;2015.0;GER-Bundesliga
Alexander Brunst-Zöllner;1995-07-07;Hamburg;;;2015.0;GER-Bundesliga
Raphael Framberger;1995-09-06;Augsburg;;;2015.0;GER-Bundesliga
Jeffrey Gouweleeuw;1991-07-10;Augsburg;;;2015.0;GER-Bundesliga
Maximilian Mittelstädt;1997-03-18;Hertha Berlin;;;2015.0;GER-Bundesliga
Waldemar Riptsov Anton;1996-07-20;Hannover;;;2015.0;GER-Bundesliga
Genki Haraguchi;1991-05-09;Hertha Berlin;;;2015.0;GER-Bundesliga
Karim Onisiwo;1992-03-17;Mainz;;;2015.0;GER-Bundesliga
Phillipp Steinhart;1992-07-07;Bayern;;;2015.0;GER-Bundesliga
Luca Caldirola;1991-02-01;Darmstadt;;;2015.0;GER-Bundesliga
Sławomir Konrad Peszko;1985-02-19;FC Koln;;;2015.0;GER-Bundesliga
Albin Ekdal;1989-07-28;Hamburg;;;2015.0;GER-Bundesliga
Frederik Hillersborg Sørensen;1992-04-14;FC Koln;;;2015.0;GER-Bundesliga
Jannes-Kilian Horn;1997-02-06;Wolfsburg;;;2015.0;GER-Bundesliga
Luca-Milan Zander;1995-08-09;Werder Bremen;;;2015.0;GER-Bundesliga
Sebastian Stolze;1995-01-29;Wolfsburg;;;2015.0;GER-Bundesliga
Paul Seguin;1995-03-29;Wolfsburg;;;2015.0;GER-Bundesliga
Dennis Diekmeier;1989-10-20;Hamburg;;;2015.0;GER-Bundesliga
Thomas Pledl;1994-05-23;Ingolstadt;;;2015.0;GER-Bundesliga
Lukas Thomas Fröde;1995-01-23;Werder Bremen;;;2015.0;GER-Bundesliga
Borys Tashchy;1993-07-26;Stuttgart;;;2015.0;GER-Bundesliga
Christian Ortag;1995-01-14;Ingolstadt;;;2015.0;GER-Bundesliga
Janek Sternberg;1992-10-19;Werder Bremen;;;2015.0;GER-Bundesliga
Leandro Putaro;1997-01-07;Wolfsburg;;;2015.0;GER-Bundesliga
Philipp Sven Müller;1995-03-03;Hamburg;;;2015.0;GER-Bundesliga
Timo Königsmann;1997-04-05;Hannover;;;2015.0;GER-Bundesliga
Federico Barba;1993-09-01;Stuttgart;;;2015.0;GER-Bundesliga
Jiloan Mohamed Hamad Amin Alla Werdi;1990-11-06;Hoffenheim;;;2015.0;GER-Bundesliga
Leon Guwara;1996-06-28;Werder Bremen;;;2015.0;GER-Bundesliga
Moritz Sprenger;1995-02-22;Wolfsburg;;;2015.0;GER-Bundesliga
Valmir Bajram Sulejmani;1996-02-01;Hannover;;;2015.0;GER-Bundesliga
Ömer Toprak;1989-07-21;Leverkusen;;;2015.0;GER-Bundesliga
Tolga Ciğerci;1992-03-23;Hertha Berlin;;;2015.0;GER-Bundesliga
Raúl Marcelo Bobadilla;1987-06-18;Augsburg;;;2015.0;GER-Bundesliga
El Hadji Papy Mison Djilobodji;1988-12-01;Werder Bremen;;;2015.0;GER-Bundesliga
Allan Irénée Saint-Maximin;1997-03-12;Hannover;;;2015.0;GER-Bundesliga
Lukas Boeder;1997-04-18;Leverkusen;;;2015.0;GER-Bundesliga
Marvin Friedrich;1995-12-13;Schalke;;;2015.0;GER-Bundesliga
Kyriakos Papadopoulos;1992-02-23;Leverkusen;;;2015.0;GER-Bundesliga
Maurice Michael Multhaup;1996-12-15;Ingolstadt;;;2015.0;GER-Bundesliga
Jeremy Calvin Dudziak;1995-08-28;Borussia Dortmund;;;2015.0;GER-Bundesliga
Felix Platte;1996-02-11;Darmstadt;Schalke;;2015.0;GER-Bundesliga
Ioannis Gelios;1992-04-24;Augsburg;;;2015.0;GER-Bundesliga
Robert Bauer;1995-04-09;Ingolstadt;;;2015.0;GER-Bundesliga
Gaëtan Bussmann;1991-02-02;Mainz;;;2015.0;GER-Bundesliga
Alexandru Iulian Maxim;1990-07-08;Stuttgart;;;2015.0;GER-Bundesliga
Pascal Stenzel;1996-03-20;Borussia Dortmund;;;2015.0;GER-Bundesliga
Robin Tim Becker;1997-01-18;Leverkusen;;;2015.0;GER-Bundesliga
Marlon Frey;1996-03-24;Leverkusen;;;2015.0;GER-Bundesliga
Ceyhun Gülselam;1987-12-25;Hannover;;;2015.0;GER-Bundesliga
Levent Ayçiçek;1994-02-14;Werder Bremen;;;2015.0;GER-Bundesliga
Arturo Erasmo Vidal Pardo;1987-05-22;Bayern;;;2015.0;GER-Bundesliga
Alessandro André Schöpf;1994-02-07;Schalke;;;2015.0;GER-Bundesliga
Kevin Volland;1992-07-30;Hoffenheim;;;2015.0;GER-Bundesliga
Carlos Armando Gruezo Arboleda;1995-04-19;Stuttgart;;;2015.0;GER-Bundesliga
Matthias Lukas Ginter;1994-01-19;Borussia Dortmund;;;2015.0;GER-Bundesliga
Maximilian Eggestein;1996-12-08;Werder Bremen;;;2015.0;GER-Bundesliga
Philipp Hosiner;1989-05-15;FC Koln;;;2015.0;GER-Bundesliga
Slobodan Medojević;1990-10-20;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Yannick Stark;1990-10-28;Darmstadt;;;2015.0;GER-Bundesliga
Miloš Pantović;1996-07-07;Bayern;;;2015.0;GER-Bundesliga
Darío Lezcano Mendoza;1990-06-30;Ingolstadt;;;2015.0;GER-Bundesliga
Michael Gregoritsch;1994-04-18;Hamburg;;;2015.0;GER-Bundesliga
Robin Knoche;1992-05-22;Wolfsburg;;;2015.0;GER-Bundesliga
Yunus Mallı;1992-02-24;Mainz;;;2015.0;GER-Bundesliga
Benjamin Uphoff;1993-08-08;Stuttgart;;;2015.0;GER-Bundesliga
Dominique Heintz;1993-08-15;FC Koln;;;2015.0;GER-Bundesliga
Santiago García;1988-07-08;Werder Bremen;;;2015.0;GER-Bundesliga
Carlos Augusto Zambrano Ochandarte;1989-07-10;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Mevlüt Erdinç;1987-02-25;Hannover;;;2015.0;GER-Bundesliga
Ismail Azzaoui;1998-01-06;Wolfsburg;;;2015.0;GER-Bundesliga
Roman Bürki;1990-11-14;Borussia Dortmund;;;2015.0;GER-Bundesliga
Javier Martínez Aginaga;1988-09-02;Bayern;;;2015.0;GER-Bundesliga
Marcelo Antônio Guedes Filho;1987-05-20;Hannover;;;2015.0;GER-Bundesliga
Douglas Costa de Souza;1990-09-14;Bayern;;;2015.0;GER-Bundesliga
Mathew Allan Leckie;1991-02-04;Ingolstadt;;;2015.0;GER-Bundesliga
Javier Hernández Balcázar;1988-06-01;Leverkusen;;;2015.0;GER-Bundesliga
Jin-Su Kim;1992-06-13;Hoffenheim;;;2015.0;GER-Bundesliga
Xizhe Zhang;1991-01-23;Wolfsburg;;;2015.0;GER-Bundesliga
Jhon Andrés Córdoba Copete;1993-05-11;Mainz;;;2015.0;GER-Bundesliga
Ja-Cheol Koo;1989-02-27;Augsburg;Mainz;;2015.0;GER-Bundesliga
Philipp Bargfrede;1989-03-03;Werder Bremen;;;2015.0;GER-Bundesliga
Salomon Armand Magloire Kalou;1985-08-05;Hertha Berlin;;;2015.0;GER-Bundesliga
Alfredo Eloy Galo Morales;1990-05-12;Ingolstadt;;;2015.0;GER-Bundesliga
Erik Thommy;1994-08-20;Augsburg;;;2015.0;GER-Bundesliga
Jeong-Ho Hong;1989-08-12;Augsburg;;;2015.0;GER-Bundesliga
Seung-Woo Ryu;1993-12-17;Leverkusen;;;2015.0;GER-Bundesliga
Nabil Bahoui;1991-02-05;Hamburg;;;2015.0;GER-Bundesliga
Oskar Zawada;1996-02-01;Wolfsburg;;;2015.0;GER-Bundesliga
Russell Canouse;1995-06-11;Hoffenheim;;;2015.0;GER-Bundesliga
Toni Šunjić;1988-12-15;Stuttgart;;;2015.0;GER-Bundesliga
Jan Thilo Kehrer;1996-09-21;Schalke;;;2015.0;GER-Bundesliga
Dante Bonfim Costa Santos;1983-10-18;Wolfsburg;Bayern;;2015.0;GER-Bundesliga
Julian-Maurice Derstroff;1992-01-05;Mainz;;;2015.0;GER-Bundesliga
Marcel Heller;1986-02-12;Darmstadt;;;2015.0;GER-Bundesliga
Marvin Matip;1985-09-25;Ingolstadt;;;2015.0;GER-Bundesliga
Nico Ingo Rinderknecht;1997-10-11;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Yanni Regäsel;1996-01-13;Eintracht Frankfurt;Hertha Berlin;;2015.0;GER-Bundesliga
Tim Dierßen;1996-01-15;Hannover;;;2015.0;GER-Bundesliga
Emil Berggreen;1993-05-10;Mainz;;;2015.0;GER-Bundesliga
Sascha Mölders;1985-03-20;Augsburg;;;2015.0;GER-Bundesliga
Konstantin Engel;1988-07-27;Ingolstadt;;;2015.0;GER-Bundesliga
Fynn Arkenberg;1996-03-04;Hannover;;;2015.0;GER-Bundesliga
Yannick Joschka Zummack;1996-03-26;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Joël Abu Hanna;1998-01-22;Leverkusen;;;2015.0;GER-Bundesliga
Mart Ristl;1996-07-07;Stuttgart;;;2015.0;GER-Bundesliga
Melvyn Lorenzen;1994-11-26;Werder Bremen;;;2015.0;GER-Bundesliga
Artur Adam Sobiech;1990-06-12;Hannover;;;2015.0;GER-Bundesliga
Ronny Marcos;1993-10-01;Hamburg;;;2015.0;GER-Bundesliga
Kerim Carolus;1994-06-16;Hamburg;;;2015.0;GER-Bundesliga
Yannick Günzel;1996-06-06;Bayern;;;2015.0;GER-Bundesliga
Marwin Hitz;1987-09-18;Augsburg;;;2015.0;GER-Bundesliga
Job Joël André Matip;1991-08-08;Schalke;;;2015.0;GER-Bundesliga
Mark-Alexander Uth;1991-08-24;Hoffenheim;;;2015.0;GER-Bundesliga
Thiago Alcântara do Nascimento;1991-04-11;Bayern;;;2015.0;GER-Bundesliga
Lukáš Hrádecký;1989-11-24;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Jonathan Glao Tah;1996-02-11;Leverkusen;;;2015.0;GER-Bundesliga
Pierre Thomas Robin Neurath Bengtsson;1988-04-12;Mainz;;;2015.0;GER-Bundesliga
Leon Aderemi Balogun;1988-06-28;Mainz;;;2015.0;GER-Bundesliga
Ville Matti Steinmann;1995-01-08;Hamburg;;;2015.0;GER-Bundesliga
Marvin Schwäbe;1995-04-25;Hoffenheim;;;2015.0;GER-Bundesliga
Christian Clemens;1991-08-04;Mainz;;;2015.0;GER-Bundesliga
Marco Höger;1989-09-16;Schalke;;;2015.0;GER-Bundesliga
Pierre-Michel Lasogga;1991-12-15;Hamburg;;;2015.0;GER-Bundesliga
Julian Korb;1992-03-21;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Marcel Hilßner;1995-01-30;Werder Bremen;;;2015.0;GER-Bundesliga
Gian-Luca Waldschmidt;1996-05-19;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Charlison Girigorio Benschop;1989-08-21;Hannover;;;2015.0;GER-Bundesliga
Fabian Frei;1989-01-08;Mainz;;;2015.0;GER-Bundesliga
Tolcay Ciğerci;1995-01-24;Hamburg;;;2015.0;GER-Bundesliga
Arif Ekin;1995-09-14;Augsburg;;;2015.0;GER-Bundesliga
Eric Maxim Choupo-Moting;1989-03-23;Schalke;;;2015.0;GER-Bundesliga
Manuel Peter Neuer;1986-03-27;Bayern;;;2015.0;GER-Bundesliga
Sven Ulreich;1988-08-03;Bayern;;;2015.0;GER-Bundesliga
Joshua Walter Kimmich;1995-02-08;Bayern;;;2015.0;GER-Bundesliga
Kingsley Junior Coman;1996-06-13;Bayern;;;2015.0;GER-Bundesliga
Leon Christoph Goretzka;1995-02-06;Schalke;;;2015.0;GER-Bundesliga
Thomas Müller;1989-09-13;Bayern;;;2015.0;GER-Bundesliga
Leroy Aziz Sané;1996-01-11;Schalke;;;2015.0;GER-Bundesliga
Nadiem Amiri;1996-10-27;Hoffenheim;;;2015.0;GER-Bundesliga
Henrikh Hamlet Mkhitaryan;1989-01-21;Borussia Dortmund;;;2015.0;GER-Bundesliga
Granit Xhaka;1992-09-27;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Hakan Çalhanoğlu;1994-02-08;Leverkusen;;;2015.0;GER-Bundesliga
Andreas Bødtker Christensen;1996-04-10;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Yann Sommer;1988-12-17;Borussia M.Gladbach;;;2015.0;GER-Bundesliga
Gideon Jung;1994-09-12;Hamburg;;;2015.0;GER-Bundesliga
Niklas Bernd Dorsch;1998-01-15;Bayern;;;2015.0;GER-Bundesliga
Maximilian Grün;1987-04-05;Wolfsburg;;;2015.0;GER-Bundesliga
Noah Joel Sarenren Bazee;1996-08-21;Hannover;;;2015.0;GER-Bundesliga
Dominik Stroh-Engel;1985-11-27;Darmstadt;;;2015.0;GER-Bundesliga
Tomáš Pekhart;1989-05-26;Ingolstadt;;;2015.0;GER-Bundesliga
Mario Götze;1992-06-03;Bayern;;;2015.0;GER-Bundesliga
Christian Mate Pulišić;1998-09-18;Borussia Dortmund;;;2015.0;GER-Bundesliga
Heung-Min Son;1992-07-08;Leverkusen;;;2015.0;GER-Bundesliga
Ivan Perišić;1989-02-02;Wolfsburg;;;2015.0;GER-Bundesliga
Robert Lewandowski;1988-08-21;Bayern;;;2015.0;GER-Bundesliga
İlkay Gündoğan;1990-10-24;Borussia Dortmund;;;2015.0;GER-Bundesliga
Pierre-Emerick Emiliano Franço Aubameyang;1989-06-18;Borussia Dortmund;;;2015.0;GER-Bundesliga
Timothy Chandler;1990-03-29;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Makoto Hasebe;1984-01-18;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Sebastian Rode;1990-10-11;Bayern;;;2015.0;GER-Bundesliga
Pierre-Emile Kordt Højbjerg;1995-08-05;Schalke;Bayern;;2015.0;GER-Bundesliga
Mike-Steven Bähre;1995-08-10;Hannover;;;2015.0;GER-Bundesliga
Philipp Martin Max;1993-09-30;Augsburg;;;2015.0;GER-Bundesliga
Per Ciljan Skjelbred;1987-06-16;Hertha Berlin;;;2015.0;GER-Bundesliga
Iver Tobias Rørvik Fossum;1996-07-15;Hannover;;;2015.0;GER-Bundesliga
Josip Drmić;1992-08-08;Hamburg;Borussia M.Gladbach;;2015.0;GER-Bundesliga
Hendrik Bonmann;1994-01-22;Borussia Dortmund;;;2015.0;GER-Bundesliga
Jens Grahl;1988-09-22;Hoffenheim;;;2015.0;GER-Bundesliga
Emil Balayev;1994-04-17;Eintracht Frankfurt;;;2015.0;GER-Bundesliga
Jan Kliment;1993-09-01;Stuttgart;;;2015.0;GER-Bundesliga
Marco Reus;1989-05-31;Borussia Dortmund;;;2015.0;GER-Bundesliga
Marius Wolf;1995-05-27;Hannover;;;2015.0;GER-Bundesliga
Benjamin Paa Kwesi Henrichs;1997-02-23;Leverkusen;;;2015.0;GER-Bundesliga
Juan Bernat Velasco;1993-03-01;Bayern;;;2015.0;GER-Bundesliga
